id	name	reactions
PWY-6269	superpathway of adenosylcobalamin salvage from cobinamide II	RXN-8770|COBALAMIN5PSYN-RXN|R346-RXN|RXN-6261|DMBPPRIBOSYLTRANS-RXN|COBINPGUANYLYLTRANS-RXN|RXN-19343|RXN-19338|RXN-19342
PWY-7340	9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)	RXN-14804|RXN-14803|RXN-14802|RXN-14801|RXN-14800|RXN-14799|RXN-14798|RXN-14797|RXN-14796|RXN-14795
PWY66-366	flavin salvage	RIBOFLAVINKIN-RXN|FADSYN-RXN
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	RXN-22973|2.4.1.129-RXN|RXN-11301|RXN-11031|RXN-11030|RXN-11029|RXN-11028|DALADALALIG-RXN|UDP-NACMURALGLDAPLIG-RXN|GLUTRACE-RXN|UDP-NACMURALA-GLU-LIG-RXN|UDP-NACMUR-ALA-LIG-RXN|UDP-NACMURALGLDAPAALIG-RXN|UDPNACETYLMURAMATEDEHYDROG-RXN|UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
PWY-6555	superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)	2.7.1.140-RXN|2.7.1.133-RXN|2.7.1.139-RXN|RXN-7184|RXN-7163|2.7.1.127-RXN|2.7.1.151-RXN|RXN-7162
PWY-8354	adipate degradation	RXN-3641|RXN0-2044|RXN-2425|RXN-22997|RXN-22974
PWY0-1597	prenylated FMNH2 biosynthesis	RXN-16937|RXN0-7298|RXN0-7309
PWY-6641	superpathway of sulfolactate degradation	4.4.1.25-RXN|RXN-11737|RXN-11738|PHOSACETYLTRANS-RXN|RXN-2364|R231-RXN
PWY-6977	superpathway of erythromycin biosynthesis	RXN-12404|DTDPGLUCDEHYDRAT-RXN|DTDPGLUCOSEPP-RXN|RXN-12942|RXN-12941|RXN-12940|RXN-12935|RXN-12769|RXN-12768|RXN-12767|2.6.1.33-RXN
PWY66-391	fatty acid beta-oxidation VI (mammalian peroxisome)	RXN-11026|RXN66-485|RXN-7699|KETOACYLCOATHIOL-RXN|OHACYL-COA-DEHYDROG-RXN|ENOYL-COA-HYDRAT-RXN|ACYLCOASYN-RXN
PWY-6168	flavin biosynthesis III (fungi)	DIOHBUTANONEPSYN-RXN|FADSYN-RXN|RIBOFLAVINKIN-RXN|RIBOFLAVIN-SYN-RXN|LUMAZINESYN-RXN|GTP-CYCLOHYDRO-II-RXN|RXN-10057|RXN-10058|RIBOPHOSPHAT-RXN
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	CDPKIN-RXN|RXN-11832|CTPSYN-RXN|UDPKIN-RXN|RXN-12002|URACIL-PRIBOSYLTRANS-RXN|CYTIKIN-RXN|URIDINEKIN-RXN|CYTIDEAM2-RXN|URIDINE-NUCLEOSIDASE-RXN
PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	1.1.1.266-RXN|RXN-13749|DTDPGLUCDEHYDRAT-RXN|DTDPGLUCOSEPP-RXN|RXN-14735|RXN-12810|RXN-12840|RXN-14533|RXN-14532|RXN-12839|RXN-12811|RXN-12806|RFFTRANS-RXN|TDPFUCACTRANS-RXN|RXN-13755|2.6.1.33-RXN|PHOSPHOGLUCMUT-RXN|DTDPDEHYRHAMREDUCT-RXN|DTDPDEHYDRHAMEPIM-RXN
PWY-7307	oleate beta-oxidation (reductase-dependent, yeast)	RXN-14716|RXN-14715|RXN-14714
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	GTP-CYCLOHYDRO-II-RXN|RIBOFLAVINSYNDEAM-RXN|RIBOFLAVINSYNREDUC-RXN|DIOHBUTANONEPSYN-RXN|RIBOPHOSPHAT-RXN|LUMAZINESYN-RXN|RIBOFLAVIN-SYN-RXN|FADSYN-RXN|RIBOFLAVINKIN-RXN
PWY-7438	superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis	RXN-16262|RXN-12943|RXN-12404|DTDPGLUCDEHYDRAT-RXN|DTDPGLUCOSEPP-RXN|RXN-12932|RXN-12931|RXN-12930|RXN-12921|RXN-12942|RXN-12941|RXN-12940|RXN-12935|RXN-15233|RXN-13667|RXN-13660|RXN-13659|RXN-12929|RXN-12928|RXN-12408|RXN-12409|RXN-12407|RXN-12406
PWY-7835	superpathway of glycosphingolipids biosynthesis	RXN-18313|RXN-18312|RXN-18311|RXN-18308|RXN-18307|RXN-18306|2.4.99.10-RXN|2.4.1.163-RXN|CERAMIDE-GLUCOSYLTRANSFERASE-RXN|RXN-12119|2.4.1.206-RXN|RXN-12229|RXN-18310|RXN-18309|2.4.1.86-RXN|GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN|RXN-18300|RXN-18299|RXN-18298|2.4.1.88-RXN|2.4.1.79-RXN|2.4.1.228-RXN|RXN-18297|RXN-18296|RXN-18295|RXN-18294|RXN-18286|RXN-18287|RXN-18285|RXN-18281|RXN-18280|RXN-18279|RXN-18278|RXN-18274|RXN-18275|RXN-18270|RXN-18271|2.4.99.2-RXN|GANGLIOSIDE-GALACTOSYLTRANSFERASE-RXN|2.4.1.92-RXN|2.4.99.9-RXN|2.4.99.11-RXN
FAO-PWY	fatty acid beta-oxidation I (generic)	ENOYL-COA-HYDRAT-RXN|ENOYL-COA-DELTA-ISOM-RXN|ACYLCOADEHYDROG-RXN|ACYLCOASYN-RXN|OHBUTYRYL-COA-EPIM-RXN|KETOACYLCOATHIOL-RXN|OHACYL-COA-DEHYDROG-RXN
PWY-6167	flavin biosynthesis II (archaea)	DIOHBUTANONEPSYN-RXN|FADSYN-RXN|RXN-9296|RIBOFLAVIN-SYN-RXN|LUMAZINESYN-RXN|RXN-10055|RXN-10056|RXN-10057|RXN-10058|RIBOPHOSPHAT-RXN
PWY18C3-6	superpathway of glycoalkaloid metabolism (Solanaceae)	RXN18C3-13|RXN-12123|RXN18C3-6|RXN18C3-5|RXN18C3-237|RXN18C3-236|RXN18C3-3|RXN18C3-235|RXN-21391|RXN-20584|RXN-20583|RXN18C3-12|RXN18C3-11|RXN18C3-10|RXN18C3-9|RXN18C3-8|RXN-20588|RXN-20587|RXN-20586|RXN18C3-7
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	RXN-9787|RXN-11319|RXN-9789|RXN-9788|DXS-RXN|THIAZOLSYN2-RXN|RXN-12611|THI-P-KIN-RXN|PYRIMSYN1-RXN|PYRIMSYN3-RXN
PWY-5136	fatty acid beta-oxidation II (plant peroxisome)	RXN-11026|KETOACYLCOATHIOL-RXN|OHACYL-COA-DEHYDROG-RXN|ENOYL-COA-HYDRAT-RXN|ACYLCOASYN-RXN
PWY-7710	FeMo cofactor biosynthesis	RXN-17060|RXN-17059|HOMOCITRATE-SYNTHASE-RXN|RXN-17027|RXN-17026|RXN-17025
PWY66-387	3-methyl-branched fatty acid alpha-oxidation	RXN66-483|RXN66-472|RXN66-471|FORMYL-COA-HYDROLASE-RXN|RXN66-470|RXN66-469
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I	LANOSTEROL-SYNTHASE-RXN|IPPISOM-RXN|DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN|PHOSPHOMEVALONATE-KINASE-RXN|MEVALONATE-KINASE-RXN|1.1.1.34-RXN|HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN|ACETYL-COA-ACETYLTRANSFER-RXN|FPPSYN-RXN|GPPSYN-RXN|RXN3O-218|1.3.1.71-RXN|RXN3O-227|RXN3O-203|RXN3O-178|RXN-13709|RXN-13712|RXN3O-130|RXN66-314|RXN66-319|RXN66-318|RXN66-313|RXN66-306|RXN66-281|RXN-12263|SQUALENE-MONOOXYGENASE-RXN
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	RXN-7911|RXN-7836|RXN-12520|RXN-12519|RXN-12518
PWY-8165	cytidylyl molybdenum cofactor sulfurylation	RXN-21561|RXN-21560
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	MYRPALMTRAN-RXN|PALMITOTRANS-RXN|MYRISTOYLACYLTRAN-RXN|LAUROYLACYLTRAN-RXN|RXN-16804|DARAB5PISOM-RXN|KDO-8PSYNTH-RXN|KDO-8PPHOSPHAT-RXN|CPM-KDOSYNTH-RXN|UDPNACETYLGLUCOSAMACYLTRANS-RXN|UDPACYLGLCNACDEACETYL-RXN|UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN|LIPIDXSYNTHESIS-RXN|TETRAACYLDISACC4KIN-RXN|LIPIDADISACCHARIDESYNTH-RXN|KDOTRANS2-RXN|KDOTRANS-RXN
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	CYSTATHIONINE-BETA-LYASE-RXN|HOMOCYSMETB12-RXN|O-SUCCHOMOSERLYASE-RXN|HOMOCYSMET-RXN|HOMSUCTRAN-RXN|RXN-14014|ASPARTATEKIN-RXN|ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN|DIHYDRODIPICSYN-RXN|TETHYDPICSUCC-RXN|SUCCINYLDIAMINOPIMTRANS-RXN|SUCCDIAMINOPIMDESUCC-RXN|DIAMINOPIMDECARB-RXN|DIAMINOPIMEPIM-RXN
PWY-7466	acetone degradation III (to propane-1,2-diol)	RXN-8632|ISOPROPANOL-DEHYDROGENASE-NADP+-RXN|RXN-8630|ACETOACETATE-DECARBOXYLASE-RXN
PWY-8171	molybdenum cofactor biosynthesis	ABC-19-RXN|RXN-8348|RXN-8344
PWY-13	superpathway of tetrahydroxyxanthone biosynthesis	RXN-7485|RXN-7483|RXN-7482|RXN-7481|BENZOATE--COA-LIGASE-RXN|RXN-7487|RXN-7486|RXN-7484|2.3.1.151-RXN|RXN-7488
PWY-4762	superpathway of choline biosynthesis	RXN-5781|PHOSCHOL-RXN|2.7.7.15-RXN|RXN-5763|RXN-5762|RXN-5761|RXN-5647|RXN-5643|RXN-5642|2.1.1.103-RXN|ETHANOLAMINE-KINASE-RXN|RXN-5641
PWY-5451	acetone degradation I (to methylglyoxal)	RXN-17626|RXN-17625|ISOPROPANOL-DEHYDROGENASE-NADP+-RXN|RXN-8630|ACETOACETATE-DECARBOXYLASE-RXN
PWY-5964	guanylyl molybdenum cofactor biosynthesis	RXN0-262
PWY-5156	superpathway of fatty acid biosynthesis II (plant)	RXN-16393|RXN-9623|RXN-9655|3.1.2.21-RXN|RXN-9549|RXN-9663|4.2.1.61-RXN|RXN-9540|RXN-9539|RXN-9662|RXN-9537|RXN-9536|RXN-9535|RXN-9661|RXN-9533|RXN-9532|RXN-9531|RXN-9660|RXN-9528|RXN-9527|4.2.1.59-RXN|RXN-9659|RXN-9524|RXN-9523|4.2.1.58-RXN|RXN-9514|RXN-9516|RXN-9518|RXN-9520|RXN-9658|RXN-9657|RXN-16380|RXN-9548|RXN-9635|RXN-9634|RXN-9633|RXN-9632|RXN-9644|3.1.2.14-RXN|RXN-7903|RXN0-5055|2.3.1.180-RXN|MALONYL-COA-ACP-TRANSACYL-RXN
PWY-5312	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)	RXN-8177|RXN-7998|RXN-7997|RXN-7832|RXN-7834|RXN-7830|RXN-7828|RXN-8139|2.3.1.172-RXN|RXN-8140|RXN-8138
PWY66-388	ceramide degradation by alpha-oxidation	RXN-20504|RXN3O-4042|FORMYL-COA-HYDROLASE-RXN|RXN66-477|RXN66-476|RXN66-475|RXN66-474
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis	RXN-16457|RXN-16456
PWY-5433	superpathway of lipoxygenase	RXN-23336|RXN-23335|RXN-23334|RXN-12299|RXN-1346|RXN-11852|RXN-1349|RXN-1347|RXN-1345|RXN-1321|HYDROHEX-RXN|LIPOXYGENASE-RXN|RXN-8504|RXN-8503|RXN-8502|RXN-8497|RXN-8495|RXN-8501|RXN-8500|RXN-8499|RXN-8498|RXN-8496
PWY-5676	acetyl-CoA fermentation to butanoate	RXN-16834|RXN-5901|R11-RXN|3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN|ACETYL-COA-ACETYLTRANSFER-RXN|PHOSACETYLTRANS-RXN|ACETATEKIN-RXN
PWY-7119	ceramide and sphingolipid recycling and degradation (yeast)	RXN-9623|RXN-16655|RXN-20651|RXN-20650|RXN-20649|RXN-13730|RXN-13731|RXN-13732|RXN-13733|CERAMIDASE-YEAST-RXN|RXN-13729|RXN3O-504|RXN3O-458|DHS-PHOSPHATASE-RXN|SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN|SPHINGANINE-KINASE-RXN
PWY-8164	bis(guanylyl molybdopterin) cofactor sulfurylation	RXN-21566|RXN-21562|RXN-21550
PWY-5896	superpathway of menaquinol-10 biosynthesis	RXN-9106|RXN-9361|RXN-9358|RXN-9311|NAPHTHOATE-SYN-RXN|RXN-9310|2.5.1.64-RXN|ISOCHORSYN-RXN|O-SUCCINYLBENZOATE-COA-SYN-RXN|O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	DGDPKIN-RXN|RXN0-748|RXN0-746|GDPREDUCT-RXN|GDPKIN-RXN|GUANYL-KIN-RXN|GMP-SYN-GLUT-RXN|IMP-DEHYDROG-RXN
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism	RXN-9623|RXN-16655|RXN-14194|RXN-19751|RXN-16656|CERAMIDASE-RXN|2-HEXADECENAL-REDUCTASE-RXN|RXN3DJ-25|RXN3DJ-11230|RXN3DJ-11417
PWY-8168	bis(guanylyl tungstenpterin) cofactor biosynthesis	RXN-21295
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)	RXN-9558|RXN-9557|RXN-9556|2.3.1.179-RXN|RXN-9555|RXN-9550|RXN-10654|RXN-10655|RXN-10656|RXN-10657|RXN-10658|RXN-10659|RXN-10660|RXN-10661|RXN-9655|5.3.3.14-RXN|RXN0-2141|RXN0-2142|RXN0-2144|RXN0-2145
PWY-6483	ceramide degradation (generic)	RXN-11377|RXN-11376|RXN-11375
PWY-5533	acetone degradation II (to acetoacetate)	ISOPROPANOL-DEHYDROGENASE-NADP+-RXN|6.4.1.6-RXN
PWY-5963	molybdenum cofactor sulfulylation (eukaryotes)	RXN-8351
PWY-6569	superpathway of chondroitin sulfate biosynthesis	RXN-11560|RXN-7954|CHONDROITIN-4-SULFOTRANSFERASE-RXN|CHONDROITIN-6-SULFOTRANSFERASE-RXN|RXN-16325|RXN-16324|2.4.1.174-RXN|2.4.1.135-RXN|2.4.1.134-RXN|2.4.1.133-RXN|2.4.2.26-RXN
PWY-6751	superpathway of hydrogen production	HYDROG-RXN|HYDROGEN-DEHYDROGENASE-RXN
PWY-7292	oleate beta-oxidation (thioesterase-dependent, yeast)	RXN0-5390|RXN0-5391
PWY-6823	molybdopterin biosynthesis	RXN-22698|RXN-17809|RXN-12473|RXN-11361|RXN-8342|RXN-8340
PWY-7003	glycerol degradation to butanol	PEPDEPHOS-RXN|2PGADEHYDRAT-RXN|3PGAREARR-RXN|PHOSGLYPHOS-RXN|GAPOXNPHOSPHN-RXN|TRIOSEPISOMERIZATION-RXN|RXN-16834|RXN-11667|PYRUFLAVREDUCT-RXN|RXN-11662|ENZRXN-201-RXN|RXN-161|BUTANAL-DEHYDROGENASE-RXN|ACETYL-COA-ACETYLTRANSFER-RXN|GLYCERONE-KINASE-RXN|GLYCDEH-RXN
PWY-7209	superpathway of pyrimidine ribonucleosides degradation	URPHOS-RXN|CYTIDEAM2-RXN|BETA-UREIDOPROPIONASE-RXN|DIHYDROPYRIMIDINASE-RXN|1.3.1.2-RXN
PWY-8182	valproate beta-oxidation	RXN-12561|RXN-21771|RXN-21770|RXN-21769|RXN-21763|RXN-21765|RXN-21766|RXN-21767|RXN-21768
PWY-8163	cytidylyl copper-molybdenum cofactor biosynthesis	RXN-21555|RXN-21549|RXN-21553|RXN-21554|RXN-21552|RXN-21551
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	RXN-14783|RXN-14782|RXN-9998|PGLUCISOM-RXN|5.4.2.10-RXN|L-GLN-FRUCT-6-P-AMINOTRANS-RXN|2.3.1.157-RXN|NAG1P-URIDYLTRANS-RXN|RXN-13585|RXN-13596|RXN-13589|5.1.3.23-RXN|1.1.1.136-RXN|RXN-16259|UDPGLCNACEPIM-RXN|UDPMANNACADEHYDROG-RXN|RXN-13252|RXN-14769|RXN-14767|RXN-14764|RXN-14763|RXN-14759|RXN-14761|RXN-14760
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (Xanthomonas)	RXN-8141|RXN-15544|PHOSPHASERDECARB-RXN|PHOSPHASERSYN-RXN
PWY-7339	10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)	RXN-14781|RXN-14780|RXN-14794|RXN-14793|RXN-14792|RXN-14791
PWY-8167	bis(tungstenpterin) cofactor biosynthesis	TRANS-RXN-242B|RXN-8344|RXN-21297|RXN-21296
PWY-8004	Entner-Doudoroff pathway I	PEPDEPHOS-RXN|2PGADEHYDRAT-RXN|RXN-15513|PHOSGLYPHOS-RXN|GAPOXNPHOSPHN-RXN|6PGLUCONOLACT-RXN|GLU6PDEHYDROG-RXN|PGLUCONDEHYDRAT-RXN|KDPGALDOL-RXN
PWY0-1325	superpathway of L-asparagine biosynthesis	ASNSYNA-RXN|ASNSYNB-RXN
PWY-7288	fatty acid beta-oxidation VII (yeast peroxisome)	RXN-11026|KETOACYLCOATHIOL-RXN|RXN66-485|RXN-7699|ACYLCOASYN-RXN
PWY-6476	cytidylyl molybdenum cofactor biosynthesis	RXN0-6254
PWY4FS-7	phosphatidylglycerol biosynthesis I	PGPPHOSPHA-RXN|PHOSPHAGLYPSYN-RXN|RXN-10462|1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN|GLYC3PDEHYDROGBIOSYN-RXN|CDPDIGLYSYN-RXN
THRESYN-PWY	superpathway of L-threonine biosynthesis	ASPAMINOTRANS-RXN|THRESYN-RXN|HOMOSERKIN-RXN|HOMOSERDEHYDROG-RXN|ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN|ASPARTATEKIN-RXN
PWY-5137	fatty acid beta-oxidation III (unsaturated, odd number)	ENOYL-COA-DELTA-ISOM-RXN
ARO-PWY	chorismate biosynthesis I	3-DEHYDROQUINATE-DEHYDRATASE-RXN|SHIKIMATE-5-DEHYDROGENASE-RXN|SHIKIMATE-KINASE-RXN|2.5.1.19-RXN|CHORISMATE-SYNTHASE-RXN|DAHPSYN-RXN|3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-2501	fatty acid alpha-oxidation I (plants)	RXN-4142|RXN-4141|RXN-4122|RXN-4121
PWY-7337	10-cis-heptadecenoyl-CoA degradation (yeast)	RXN-14781|RXN-14780|RXN-14779|RXN-14778|RXN-14777|RXN-14776|RXN-14775|RXN-14774|RXN-14773|RXN-14772|RXN-14771|RXN-14770
PWY-7291	oleate beta-oxidation (isomerase-dependent, yeast)	RXN-7931|RXN-14577|RXN-14576|RXN-14575
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	S-ADENMETSYN-RXN
PWY-5138	fatty acid beta-oxidation IV (unsaturated, even number)	RXN-7699|RXN-7835|ENOYL-COA-HYDRAT-RXN|OHBUTYRYL-COA-EPIM-RXN|RXN-7836
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	RXN-15513|F16BDEPHOS-RXN|PEPSYNTH-RXN|6PFRUCTPHOS-RXN|F16ALDOLASE-RXN|TRIOSEPISOMERIZATION-RXN|GAPOXNPHOSPHN-RXN|PHOSGLYPHOS-RXN|3PGAREARR-RXN|2PGADEHYDRAT-RXN|PEPDEPHOS-RXN|MANNPDEHYDROG-RXN|SORB6PDEHYDROG-RXN|ALCOHOL-DEHYDROG-RXN|ACETALD-DEHYDROG-RXN|PYRUVFORMLY-RXN|ACETATEKIN-RXN|PHOSACETYLTRANS-RXN|L-LACTATE-DEHYDROGENASE-RXN
PWY0-1337	oleate beta-oxidation	RXN-12567|ACETYL-COA-ACETYLTRANSFER-RXN|RXN-11662|RXN-11667|BUTYRYL-COA-DEHYDROGENASE-RXN|RXN-12565|RXN-12570|RXN-14278|RXN-14277|RXN-20679|RXN-20678|RXN-14229|RXN-13617|RXN-12490|RXN-13616|RXN-13615|RXN-14274|RXN-20676|RXN-20675|RXN-9644|RXN-7931|RXN-14394|RXN-14393|RXN-17775|RXN-17776|RXN-17777|RXN-17778|RXN-17779|RXN-17780|RXN-17781|RXN-17782|RXN-17783|RXN0-5393|RXN0-5390|RXN0-5391
PWY-6148	tetrahydromethanopterin biosynthesis	CHORPYRLY-RXN|RXN-15742|RXN-15741|RXN-15734|RXN-15733|RXN-15732|H2NEOPTERINALDOL-RXN|RXN-15555|RXN-8124|RXN-10010|RXN-10011|RXN-10012|RXN-10013|RXN-10014
PWY-2724	alkane oxidation	RXN-4466|RXN-4465|RXN-4464|RXN-4142|RXN-4444|RXN-4443
PWY-5005	biotin biosynthesis II	RXN-17473|RXN-17472|RXN-14930|DETHIOBIOTIN-SYN-RXN|7KAPSYN-RXN|6-CARBOXYHEXANOATE--COA-LIGASE-RXN
PWY-7338	10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	RXN-14781|RXN-14780|RXN-14779|RXN-14778|RXN-14777|RXN-14790|RXN-14789|RXN-14788|RXN-14787|RXN-14786|RXN-14785|RXN-14784
PWY-6151	S-adenosyl-L-methionine salvage I	S-ADENMETSYN-RXN|HOMOCYSMET-RXN|RIBOSYLHOMOCYSTEINASE-RXN|ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
PWY-5328	superpathway of L-methionine salvage and degradation	HOMOCYSMETB12-RXN|MMUM-RXN|2.1.1.5-RXN|SULFITE-OXIDASE-RXN|3-SULFINYL-PYRUVATE-SPON-RXN|3-SULFINOALANINE-AMINOTRANSFERASE-RXN|CYSTEINE-DIOXYGENASE-RXN|RXN-7790|RXN-15130|CYSTATHIONINE-BETA-SYNTHASE-RXN|RXN-7605|ADENOSYLHOMOCYSTEINASE-RXN|S-ADENMETSYN-RXN
PWY-5478	superpathway of hydrolyzable tannin biosynthesis	RXN-8727|RXN-8726|RXN-8725|RXN-8724|RXN-8723|RXN-8722|RXN-8721|RXN-8720|RXN-8719|RXN-8718|2.3.1.143-RXN|RXN-8717|RXN-8716|2.3.1.90-RXN|GALLATE-1-BETA-GLUCOSYLTRANSFERASE-RXN
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	PUTTRANSAM-RXN|AMINOBUTDEHYDROG-RXN|AGMATIN-RXN|ARGDECARBOX-RXN|RXN0-3901|RXN0-3921|RXN0-3922|RXN0-3942
PWY-5041	S-adenosyl-L-methionine salvage II	HOMOCYSMET-RXN|ADENOSYLHOMOCYSTEINASE-RXN|S-ADENMETSYN-RXN
PWY-5705	allantoin degradation to glyoxylate III	UREIDOGLYCOLATE-LYASE-RXN|URUR-RXN|ALLANTOATE-DEIMINASE-RXN|ALLANTOINASE-RXN
PWY-5899	superpathway of menaquinol-13 biosynthesis	RXN-9364|RXN-9366|RXN-9365|RXN-9311|NAPHTHOATE-SYN-RXN|RXN-9310|2.5.1.64-RXN|ISOCHORSYN-RXN|O-SUCCINYLBENZOATE-COA-SYN-RXN|O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-6402	superpathway of melatonin degradation	RXN-11073|RXN-11071|RXN-11069|RXN-11068|RXN-11067|RXN-11066|RXN-11058|RXN-11056|RXN-11060|RXN-11059|RXN-11057
SAM-PWY	S-adenosyl-L-methionine biosynthesis	S-ADENMETSYN-RXN
PWY-6142	gluconeogenesis II (Methanobacterium thermoautotrophicum)	PEPSYNTH-RXN|PGLUCISOM-RXN|RXN0-5224|PYRUVATE-CARBOXYLASE-RXN|PEPCARBOX-RXN|2PGADEHYDRAT-RXN|3PGAREARR-RXN|1.2.7.6-RXN|TRIOSEPISOMERIZATION-RXN|F16ALDOLASE-RXN|R302-RXN|PYRUFLAVREDUCT-RXN|RXN-22566|METHELENE-THMPT-OXI-RXN|H2-METHYLENE-THMPT-DEHYDRO-RXN|3.5.4.27-RXN|2.3.1.101-RXN|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN
PWY-6293	superpathway of L-cysteine biosynthesis (fungi)	CYSTATHIONINE-BETA-LYASE-RXN|O-SUCCHOMOSERLYASE-RXN|RXN-15130|CYSTATHIONINE-BETA-SYNTHASE-RXN|HOMOSERINE-O-ACETYLTRANSFERASE-RXN|ACETYLHOMOSER-CYS-RXN
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis	2.4.1.121-RXN|2.4.2.34-RXN|2.4.1.156-RXN|2.3.1.72-RXN|RXN-9083|RXN-9084|RXN-2946|RXN-2944|RXN-2947|RXN-2945|RXN-2948
PWY-4181	glutathione amide metabolism	RXN-6701|RXN-6702|RXN-6703
PWY-4021	beta-alanine betaine biosynthesis	RXN-6461|RXN-6462|RXN-6464
PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation	PYRUFLAVREDUCT-RXN|RXN-16834|RXN-11667|RXN-11662|BUTYRATE-KINASE-RXN|PHOSPHATE-BUTYRYLTRANSFERASE-RXN|ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-beta-oxidative)	RXN-2002|BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN|RXN-11278|RXN-2001|PHENYLALANINE-AMMONIA-LYASE-RXN
PWY1G-126	mycothiol oxidation	1.8.1.15-RXN|RXN1G-6
PWY-6887	kauralexin biosynthesis	5.5.1.13-RXN|RXN-12597|RXN-12602|RXN-12601|RXN-12600|RXN-12599|RXN-12598|RXN-12593|4.2.3.19-RXN
PWY-7024	superpathway of the 3-hydroxypropanoate cycle	RXN0-5224|BIOTIN-CARBOXYL-RXN|RXN0-5055|RXN-9087|RXN-6383|RXN-9086|CITRAMALYL-COA-LYASE-RXN|RXN-13230|RXN-8974|RXN-8963|RXN-8965|RXN-8960|RXN-8961|MALYL-COA-LYASE-RXN|RXN-8964|METHYLMALONYL-COA-MUT-RXN|METHYLMALONYL-COA-EPIM-RXN|PROPIONYL-COA-CARBOXY-RXN
CITRULLINE-DEG-PWY	L-citrulline degradation	RXN0-5222|RXN-14196|ORNCARBAMTRANSFER-RXN
PWY1G-0	mycothiol biosynthesis	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN|RXN-11015|RXN-6501|RXN1G-4|RXN1G-121|RXN1G-2
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	DGDPKIN-RXN|GDPREDUCT-RXN|GDPKIN-RXN|GUANYL-KIN-RXN|GMP-SYN-GLUT-RXN|IMP-DEHYDROG-RXN
PWY-7345	superpathway of anaerobic sucrose degradation	PHOSPHOGLUCMUT-RXN|PGLUCISOM-RXN|GLUC1PURIDYLTRANS-RXN|FRUCTOKINASE-RXN|SUCROSE-SYNTHASE-RXN|L-LACTATE-DEHYDROGENASE-RXN|RXN-15513|F16BDEPHOS-RXN|PEPSYNTH-RXN|6PFRUCTPHOS-RXN|F16ALDOLASE-RXN|TRIOSEPISOMERIZATION-RXN|GAPOXNPHOSPHN-RXN|PHOSGLYPHOS-RXN|3PGAREARR-RXN|2PGADEHYDRAT-RXN|PEPDEPHOS-RXN|RXN-6161|ALCOHOL-DEHYDROG-RXN
